Date,Open,High,Low,Close,Volume,Closen,sma,bbm,bbh,bbl,CCI,CloseOpen_g,rmax,rmin,Close_ah,Close_al,Close_ah_2,Close_al_2,Close_r,Close_f,Close_rp,Closebbh_c,Close_ah100_v,Close_74,vol
2020-10-23,105.55,107.42,105.24,106.84,1172258,105.80,106.77,106.77,109.22,104.32,3.85,1.21,109.55,103.16,55.0,25.0,98.33,98.15,106.84,0.00,106.84,0.00,0,106.77,0.57
2020-10-26,106.60,106.88,104.75,104.75,1680455,104.27,106.65,106.65,109.18,104.13,-105.41,-1.77,109.55,103.16,50.0,20.0,98.3,98.12,0.00,104.75,,0.00,0,107.01,0.82
2020-10-27,104.99,105.01,103.04,103.78,2029173,100.65,106.55,106.55,109.22,103.88,-145.03,-1.17,109.55,103.16,45.0,15.0,98.27,98.09,0.00,103.78,,0.00,0,107.23,0.99
2020-10-28,101.25,101.56,96.63,97.52,3466579,97.79,106.17,106.17,110.05,102.29,-312.19,-3.82,109.55,97.52,40.0,100.0,98.24,98.6,0.00,97.52,,0.00,0,107.41,1.69
2020-10-29,97.32,98.95,96.14,98.05,2584169,98.08,105.88,105.88,110.48,101.28,-238.27,0.74,109.55,97.52,35.0,95.0,98.21,98.57,98.05,0.00,,0.00,0,107.52,1.26
2020-10-30,96.08,98.83,95.97,98.11,1876105,99.43,105.63,105.63,110.77,100.48,-204.44,2.07,109.55,97.52,30.0,90.0,98.18,98.54,98.11,0.00,,0.00,0,107.52,0.91
2020-11-02,98.91,101.40,97.78,100.74,1512346,102.14,105.43,105.43,110.80,100.07,-122.56,1.82,109.55,97.52,25.0,85.0,98.15,98.51,100.74,0.00,,0.00,0,107.40,0.74
2020-11-03,101.73,103.64,101.19,103.54,1834515,104.12,105.31,105.31,110.69,99.92,-45.86,1.75,109.55,97.52,20.0,80.0,98.12,98.48,103.54,0.00,,0.00,0,107.16,0.89
2020-11-04,102.49,105.59,101.07,104.69,2496522,105.97,105.22,105.22,110.60,99.84,-13.75,2.10,109.55,97.52,15.0,75.0,98.09,98.45,104.69,0.00,,0.00,0,106.81,1.21
2020-11-05,105.20,107.73,104.77,107.25,2068549,106.55,105.18,105.18,110.53,99.84,54.18,1.91,109.55,97.52,10.0,70.0,98.06,98.42,107.25,0.00,107.25,0.00,0,106.33,1.01
2020-11-06,106.62,106.97,104.32,105.84,1919822,109.66,105.04,105.04,110.26,99.81,21.46,-0.74,109.55,97.52,5.0,65.0,98.03,98.39,0.00,105.84,,0.00,0,105.77,0.93
2020-11-09,108.03,116.23,107.19,113.48,5067031,114.42,105.24,105.24,110.93,99.54,202.55,4.80,113.48,97.52,100.0,60.0,98.6,98.36,113.48,0.00,,110.93,100.0,105.17,2.46
2020-11-10,113.48,116.09,112.96,115.35,3116139,114.93,105.58,105.58,112.05,99.12,211.59,1.62,115.35,97.52,100.0,55.0,98.6,98.33,115.35,0.00,115.35,0.00,100.0,104.56,1.52
2020-11-11,115.16,116.15,113.87,114.50,1996993,112.65,105.83,105.83,112.78,98.89,174.70,-0.58,115.35,97.52,95.0,50.0,98.57,98.3,0.00,114.50,,0.00,0,104.02,0.97
2020-11-12,110.72,112.43,108.98,110.79,2705730,110.46,106.05,106.05,113.16,98.93,93.33,0.06,115.35,97.52,90.0,45.0,98.54,98.27,0.00,110.79,,-113.16,0,103.59,1.32
2020-11-13,110.19,112.33,109.88,110.13,2357957,109.77,106.15,106.15,113.35,98.94,77.39,-0.05,115.35,97.52,85.0,40.0,98.51,98.24,0.00,110.13,,0.00,0,103.34,1.15
2020-11-16,110.33,110.89,109.04,109.41,2001236,109.07,106.24,106.24,113.50,98.97,61.15,-0.84,115.35,97.52,80.0,35.0,98.48,98.21,0.00,109.41,,0.00,0,103.32,0.97
2020-11-17,108.84,109.51,107.89,108.73,1488801,108.50,106.28,106.28,113.57,98.99,47.08,-0.10,115.35,97.52,75.0,30.0,98.45,98.18,0.00,108.73,,0.00,0,103.56,0.72
2020-11-18,108.30,109.14,107.91,108.26,1474471,107.62,106.40,106.40,113.71,99.09,35.64,-0.04,115.35,97.52,70.0,25.0,98.42,98.15,0.00,108.26,,0.00,0,104.05,0.72
2020-11-19,106.19,107.70,106.10,106.97,1947597,106.87,106.44,106.44,113.75,99.12,10.21,0.73,115.35,97.52,65.0,20.0,98.39,98.12,0.00,106.97,,0.00,0,104.76,0.95
2020-11-20,106.84,107.87,106.60,106.76,2058118,107.79,106.43,106.43,113.75,99.12,6.27,-0.07,115.35,97.52,60.0,15.0,98.36,98.09,0.00,106.76,,0.00,0,105.61,1.00
2020-11-23,107.46,109.62,107.36,108.81,1612584,109.15,106.64,106.64,113.96,99.31,41.55,1.24,115.35,97.52,55.0,10.0,98.33,98.06,108.81,0.00,,0.00,0,106.54,0.78
2020-11-24,110.01,110.38,109.10,109.49,1757078,109.48,106.92,106.92,114.24,99.61,49.16,-0.47,115.35,97.52,50.0,5.0,98.3,98.03,109.49,0.00,109.49,0.00,0,107.45,0.85
2020-11-25,109.86,110.15,108.42,109.47,1833896,108.98,107.52,107.52,114.18,100.86,41.03,-0.36,115.35,98.05,45.0,0.0,98.27,98.0,0.00,109.47,,0.00,0,108.27,0.89
2020-11-26,109.90,110.05,108.49,108.49,1014847,109.14,108.04,108.04,113.92,102.16,10.69,-1.30,115.35,98.11,40.0,0.0,98.24,98.0,0.00,108.49,,0.00,0,108.93,0.49
2020-11-27,108.34,110.03,108.24,109.78,1791715,109.45,108.62,108.62,113.53,103.72,32.99,1.31,115.35,100.74,35.0,0.0,98.21,98.0,109.78,0.00,109.78,0.00,0,109.38,0.87
2020-11-30,109.12,110.58,108.90,109.12,3256693,109.58,109.04,109.04,113.20,104.88,2.59,0.00,115.35,103.54,30.0,0.0,98.18,98.0,0.00,109.12,,0.00,0,109.63,1.58
